# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416294208;15745496;248778928;94.05;415904;44980624;208085372;76.25
axle;60;1416294268;13678244;250846180;94.83;415952;47326216;207754892;76.13
axle;60;1416294328;8583844;255940580;96.75;416048;50871676;209303984;76.69
axle;60;1416294388;8747904;255776520;96.69;416104;51045712;208961648;76.57
axle;60;1416294448;9855404;254669020;96.27;416156;51051216;207737140;76.12
axle;60;1416294508;9655820;254868604;96.35;416204;51377740;207633856;76.08
axle;60;1416294568;8934868;255589556;96.62;416284;52138876;207576996;76.06
axle;60;1416294628;8641352;255883072;96.73;416328;52492856;207505960;76.03
axle;60;1416294688;6849936;257674488;97.41;416384;54210808;207612584;76.07
axle;60;1416294748;5962160;258562264;97.75;416424;54882716;207812932;76.15
axle;60;1416294808;5844468;258679956;97.79;416468;55296988;207506076;76.03
