# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416294208;sda;41.80;0.00;9696.38;231.98;1.59;38.09;0.29;1.20
axle;60;1416294268;sda;3.13;0.00;514.06;164.17;0.01;2.91;0.21;0.07
axle;60;1416294328;sda;4.67;0.00;688.27;147.31;0.02;4.90;0.27;0.13
axle;60;1416294388;sda;3.92;0.00;714.69;182.23;0.02;5.04;0.26;0.10
axle;60;1416294448;sda;2.67;0.00;360.95;135.40;0.01;2.50;0.25;0.07
axle;60;1416294508;sda;0.88;0.00;44.81;50.72;0.00;0.00;0.00;0.00
axle;60;1416294568;sda;2.02;0.00;162.05;80.33;0.00;0.43;0.10;0.02
axle;60;1416294628;sda;1.03;0.00;44.93;43.48;0.00;0.06;0.06;0.01
axle;60;1416294688;sda;0.90;0.00;54.82;60.89;0.00;0.59;0.07;0.01
axle;60;1416294748;sda;1.38;0.13;72.00;52.14;0.00;0.43;0.05;0.01
axle;60;1416294808;sda;1.12;0.00;64.17;57.43;0.00;0.54;0.12;0.01
