Linux 3.0.101-0.15-default (axle) 	11/18/2014 	_x86_64_

07:51:38 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:52:38 AM     all     22.63      0.00      7.85      0.26      0.00     69.26
07:53:38 AM     all     12.96      0.00      6.14      0.00      0.00     80.90
07:54:38 AM     all      7.94      0.00      5.80      0.01      0.00     86.25
07:55:38 AM     all      7.21      0.00      3.62      0.01      0.00     89.17
07:56:38 AM     all      5.80      0.00      0.99      0.00      0.00     93.21
07:57:38 AM     all     33.61      0.00      3.96      0.00      0.00     62.43
07:58:38 AM     all     28.37      0.00      1.95      0.00      0.00     69.68
07:59:38 AM     all     13.26      0.00      0.87      0.00      0.00     85.88
08:00:38 AM     all      9.98      0.00      1.06      0.00      0.00     88.95
08:01:38 AM     all      5.42      0.00      0.90      0.00      0.00     93.68
