# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416293558;23695732;240828692;91.04;415120;37369808;207590188;76.07
axle;60;1416293618;21667960;242856464;91.81;415160;39398392;207580756;76.06
axle;61;1416293678;21640476;242883948;91.82;415200;39422168;207640220;76.08
axle;60;1416293738;21681952;242842472;91.80;415240;39442588;207518788;76.04
axle;60;1416293798;21681800;242842624;91.80;415276;39444056;207518796;76.04
axle;60;1416293858;10198360;254326064;96.14;415328;39457380;219117692;80.29
axle;60;1416293918;13236988;251287436;95.00;415368;39464240;215973476;79.14
axle;60;1416293978;17450080;247074344;93.40;415400;39467320;211744932;77.59
axle;60;1416294038;21658260;242866164;91.81;415452;39470204;207516460;76.04
axle;60;1416294098;19816556;244707868;92.51;415488;39471816;209361596;76.71
