Linux 3.0.101-0.15-default (axle) 	11/18/2014 	_x86_64_

08:15:13 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:16:13 AM     all     44.85      0.00     11.64      0.02      0.00     43.49
08:17:13 AM     all     43.24      0.00     12.76      0.00      0.00     44.00
08:18:13 AM     all     44.37      0.00     11.81      0.00      0.00     43.81
08:19:13 AM     all     47.78      0.00      8.14      0.00      0.00     44.08
08:20:13 AM     all     46.72      0.00      9.65      0.00      0.00     43.63
08:21:13 AM     all     46.84      0.00      9.50      0.00      0.00     43.66
08:22:13 AM     all     47.96      0.00      8.07      0.00      0.00     43.97
08:23:13 AM     all     42.23      0.00      8.05      0.00      0.00     49.72
08:24:13 AM     all     42.92      0.00      7.20      0.00      0.00     49.88
08:25:13 AM     all     40.53      0.00      9.61      0.00      0.00     49.86
08:26:13 AM     all     39.19      0.00      9.73      0.00      0.00     51.08
